Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
D'Onta Foreman CLE,RB68,71.1,298.6,2.3,8.5,68.4,0.6,0.1,62.6
Jalen Nailor MIN,WR112,0.0,0.3,0.0,23.8,297.1,1.5,0.0,62.3
Calvin Austin III PIT,WR113,4.5,36.3,0.1,22.9,261.0,1.5,0.1,62.1
Samaje Perine DEN,RB69,42.0,179.8,1.1,20.1,155.2,0.6,1.1,61.5
Keaton Mitchell BAL,RB70,63.3,297.8,2.0,10.5,85.4,0.3,0.7,60.9
Jaheim Bell NE,TE42,0.0,0.0,0.0,23.0,253.0,2.0,0.0,60.3
Jelani Woods IND,TE43,0.0,0.0,0.0,22.7,263.7,1.8,0.1,59.5
Justice Hill BAL,RB71,57.8,230.9,1.6,14.5,107.2,0.5,0.8,59.1
Kylen Granson IND,TE44,0.0,0.0,0.0,23.8,258.0,1.5,0.0,58.6
AJ Dillon GB,RB72,64.0,261.2,2.0,10.5,90.0,0.1,0.4,57.5
Kimani Vidal LAC,RB73,44.1,239.0,1.6,12.7,89.0,0.3,0.1,56.7
Noah Gray KC,TE45,0.0,0.0,0.0,22.6,237.3,1.7,0.1,56.6
Jauan Jennings SF,WR114,0.0,3.3,0.0,20.8,255.0,1.7,0.1,56.3
Parris Campbell PHI,WR115,0.7,5.8,0.0,23.3,228.7,1.5,0.1,55.8
Will Dissly LAC,TE46,0.0,0.0,0.0,23.5,225.8,1.5,0.1,54.9
Xavier Gipson NYJ,WR116,4.6,32.5,0.2,19.1,218.2,1.6,0.1,54.3
K.J. Osborn NE,WR117,0.0,2.0,0.0,20.3,248.6,1.5,0.0,54.0
Tutu Atwell LAR,WR118,2.2,14.1,0.1,18.4,242.3,1.2,0.1,51.8
Chase Edmonds TB,RB74,55.5,199.4,1.2,13.7,95.4,0.2,0.1,51.1
Emari Demercado ARI,RB75,31.9,141.6,1.1,16.2,107.1,0.4,0.5,49.5
Audric Estime DEN,RB76,56.6,238.5,1.6,8.7,63.9,0.4,1.1,48.6
Eric Gray NYG,RB77,39.6,207.1,1.4,10.8,73.8,0.2,0.1,48.5
KhaDarel Hodge ATL,WR119,0.0,0.0,0.0,17.2,228.5,1.4,0.2,48.0
Brandon Johnson DEN,WR120,0.0,2.3,0.0,14.1,189.0,2.5,0.0,47.9
Robert Tonyan MIN,TE47,0.0,0.0,0.0,20.1,189.7,1.4,0.0,47.3
Durham Smythe MIA,TE48,0.0,0.0,0.0,19.5,190.0,1.3,0.0,46.1
Noah Brown HOU,WR121,0.0,1.0,0.0,15.4,212.9,1.4,0.1,45.3
Tanner Hudson CIN,TE49,0.0,0.0,0.0,18.6,179.4,1.4,0.0,45.1
Trenton Irwin CIN,WR122,0.0,1.5,0.0,16.1,206.5,1.4,0.0,45.0
Brevin Jordan HOU,TE50,0.0,0.0,0.0,14.7,188.1,1.9,0.0,44.7
Will Shipley PHI,RB78,36.3,191.2,1.6,7.4,55.6,0.4,0.1,43.9
Donald Parham Jr. LAC,TE51,0.0,0.0,0.0,15.1,158.5,2.1,0.0,43.5
Austin Hooper NE,TE52,0.0,0.0,0.0,19.5,184.6,0.9,0.0,43.5
Lil'Jordan Humphrey DEN,WR123,0.0,0.0,0.0,12.0,155.3,2.6,0.0,43.1
Adam Trautman DEN,TE53,0.0,0.0,0.0,17.0,166.8,1.5,0.0,42.9
Jake Bobo SEA,WR124,4.2,18.5,0.2,15.0,174.1,1.3,0.1,42.7
Ty Johnson BUF,RB79,27.1,129.9,0.9,11.1,93.3,0.6,0.2,41.8
Dylan Laube LV,RB80,26.4,158.0,1.1,10.5,75.4,0.2,0.1,41.5
Trey Sermon IND,RB81,44.4,228.5,1.2,6.5,44.5,0.1,0.1,41.5
Bub Means NO,WR125,0.0,0.0,0.0,15.1,183.1,1.2,0.1,40.6
Mo Alie-Cox IND,TE54,0.0,0.0,0.0,13.8,155.5,1.8,0.0,40.3
Quez Watkins PIT,WR126,0.0,5.0,0.0,14.0,196.0,1.0,0.0,40.1
Elijah Higgins ARI,TE55,0.0,0.0,0.0,16.3,177.8,1.0,0.0,39.9
Evan Hull IND,RB82,34.5,155.4,1.0,9.0,64.3,0.5,0.1,39.8
Brock Wright DET,TE56,0.0,0.0,0.0,15.7,149.5,1.5,0.1,39.7
Isaiah Davis NYJ,RB83,65.3,192.8,1.4,6.5,46.9,0.2,0.1,39.6
