Player,REC,REC_YDS,REC_TDS,ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,POS
Bo Melton GB,5.9,68.8,0.5,1.0,6.3,0.0,0.1,16.3,WR
Damiere Byrd BUF,5.7,80.8,0.3,0.0,2.0,0.0,0.0,15.9,WR
Michael Woods II CLE,5.3,68.9,0.6,0.0,2.0,0.0,0.0,15.9,WR
Ben Skowronek HOU,5.4,65.9,0.6,0.0,2.0,0.0,0.0,15.7,WR
Zach Pascal ARI,5.2,67.5,0.6,0.0,2.0,0.0,0.0,15.6,WR
Malik Heath GB,5.4,64.6,0.6,0.0,1.5,0.0,0.0,15.6,WR
Chris Conley SF,5.3,65.0,0.6,0.0,2.0,0.0,0.0,15.5,WR
Dee Eskridge SEA,5.3,64.8,0.3,4.3,15.4,0.1,0.0,15.5,WR
Tim Jones JAC,4.9,57.0,0.6,0.0,2.0,0.0,0.0,14.3,WR
Scotty Miller PIT,5.6,69.5,0.3,0.0,1.3,0.0,0.0,14.2,WR
Equanimeous St. Brown NO,4.3,56.8,0.6,0.0,2.0,0.0,0.0,13.7,WR
River Cracraft MIA,6.9,51.6,0.1,0.0,0.0,0.0,0.0,12.7,WR
Tre'Quan Smith DET,6.4,49.2,0.1,0.0,0.0,0.0,0.0,11.9,WR
Terrace Marshall Jr. CAR,4.9,61.1,0.1,0.0,2.0,0.0,0.0,11.9,WR
Josh Ali ATL,3.6,43.9,0.3,0.0,0.0,0.0,0.0,10.0,WR
Tylan Wallace BAL,4.0,50.7,0.1,0.0,2.0,0.0,0.0,9.9,WR
Racey McMath DAL,3.4,42.4,0.3,0.0,0.0,0.0,0.0,9.7,WR
Tyler Johnson LAR,3.3,40.3,0.3,0.0,0.0,0.0,0.0,9.4,WR
Dareke Young SEA,3.4,39.8,0.3,0.0,0.0,0.0,0.0,8.9,WR
Easop Winston Jr. SEA,3.4,39.5,0.3,0.0,0.0,0.0,0.0,8.9,WR
Martavis Bryant WAS,3.3,40.8,0.2,0.0,0.0,0.0,0.0,8.6,WR
Denzel Mims JAC,3.4,39.9,0.2,0.0,0.0,0.0,0.0,8.6,WR
DJ Turner LV,3.3,37.4,0.2,0.0,0.0,0.0,0.1,8.1,WR
Jaelon Darden CLE,3.2,37.2,0.2,0.0,0.0,0.0,0.0,8.1,WR
Jha'Quan Jackson TEN,4.0,41.0,0.0,0.0,0.0,0.0,0.0,8.1,WR
Britain Covey PHI,3.6,38.9,0.1,0.0,0.0,0.0,0.0,8.1,WR
James Proche II CLE,3.2,37.0,0.2,0.0,0.0,0.0,0.0,8.0,WR
Miles Boykin NYG,3.3,36.1,0.2,0.0,0.0,0.0,0.0,7.9,WR
Phillip Dorsett II DEN,2.9,31.7,0.2,0.0,0.0,0.0,0.0,7.0,WR
Trishton Jackson MIN,2.5,27.7,0.2,0.0,0.0,0.0,0.0,6.5,WR
Byron Pringle WAS,2.6,21.0,0.2,0.0,1.0,0.0,0.0,5.7,WR
N'Keal Harry MIN,2.0,22.3,0.2,0.0,0.0,0.0,0.0,5.3,WR
Velus Jones Jr. CHI,1.9,25.0,0.1,0.0,3.0,0.0,0.0,5.2,WR
Andy Isabella BUF,1.8,23.0,0.2,0.0,0.0,0.0,0.0,5.1,WR
Tom Kennedy DET,1.7,22.2,0.2,0.0,0.0,0.0,0.0,4.9,WR
Daurice Fountain DET,1.7,22.0,0.2,0.0,0.0,0.0,0.0,4.9,WR
Maurice Alexander DET,1.7,22.0,0.2,0.0,0.0,0.0,0.0,4.9,WR
Montrell Washington KC,1.8,21.2,0.2,0.0,0.0,0.0,0.0,4.9,WR
Braylon Sanders MIA,1.8,20.2,0.2,0.0,0.0,0.0,0.0,4.9,WR
Samori Toure GB,1.7,21.2,0.2,0.0,0.0,0.0,0.0,4.8,WR
Erik Ezukanma MIA,1.8,20.1,0.2,0.0,0.0,0.0,0.0,4.8,WR
Seth Williams JAC,1.8,19.9,0.2,0.0,0.0,0.0,0.0,4.8,WR
Elijah Cooks JAC,1.8,19.7,0.2,0.0,0.0,0.0,0.0,4.8,WR
Collin Johnson CHI,1.7,20.4,0.2,0.0,0.0,0.0,0.0,4.8,WR
Simi Fehoko LAC,1.7,20.3,0.2,0.0,0.0,0.0,0.0,4.8,WR
Anthony Schwartz MIA,1.7,20.0,0.2,0.0,0.0,0.0,0.0,4.7,WR
DeAndre Carter CHI,2.0,21.0,0.0,0.0,6.0,0.0,0.0,4.7,WR
Dax Milne LV,1.7,20.2,0.2,0.0,0.0,0.0,0.0,4.7,WR
Stanley Morgan Jr. NO,1.7,19.7,0.2,0.0,0.0,0.0,0.0,4.7,WR
Cody White SEA,1.7,19.5,0.2,0.0,0.0,0.0,0.0,4.7,WR
Cephus Johnson III TB,1.7,19.6,0.2,0.0,0.0,0.0,0.0,4.6,WR
Irvin Charles NYJ,1.7,19.1,0.2,0.0,0.0,0.0,0.0,4.6,WR
