Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Keaton Mitchell BAL,RB,,,,,,63.3,297.8,2.0,0.7,60.9,10.5,85.4,0.3,,,,,,,,,,,
Justice Hill BAL,RB,,,,,,57.8,231.1,1.6,0.8,58.2,14.1,104.0,0.5,,,,,,,,,,,
AJ Dillon GB,RB,,,,,,64.0,261.3,2.0,0.4,57.4,10.5,89.9,0.1,,,,,,,,,,,
Kimani Vidal LAC,RB,,,,,,44.1,239.1,1.6,0.1,56.7,12.7,89.0,0.3,,,,,,,,,,,
Chase Edmonds TB,RB,,,,,,55.4,199.0,1.2,0.1,51.0,13.7,95.1,0.2,,,,,,,,,,,
Emari Demercado ARI,RB,,,,,,31.9,141.6,1.1,0.5,49.5,16.2,107.1,0.4,,,,,,,,,,,
Carson Steele KC,RB,,,,,,42.8,160.1,1.2,0.4,48.9,12.8,110.6,0.4,,,,,,,,,,,
Audric Estime DEN,RB,,,,,,56.9,239.7,1.6,1.1,48.7,8.7,64.2,0.4,,,,,,,,,,,
Eric Gray NYG,RB,,,,,,39.6,206.8,1.4,0.1,48.4,10.8,73.7,0.2,,,,,,,,,,,
Ty Johnson BUF,RB,,,,,,35.8,154.3,1.0,0.2,45.3,11.2,93.6,0.6,,,,,,,,,,,
Will Shipley PHI,RB,,,,,,36.3,191.1,1.6,0.1,43.9,7.5,55.4,0.4,,,,,,,,,,,
Trey Sermon IND,RB,,,,,,44.5,228.7,1.2,0.1,41.6,6.5,44.5,0.1,,,,,,,,,,,
Evan Hull IND,RB,,,,,,34.6,155.6,1.0,0.1,39.8,9.0,64.4,0.5,,,,,,,,,,,
Isaiah Davis NYJ,RB,,,,,,65.5,193.8,1.4,0.1,39.8,6.5,47.1,0.2,,,,,,,,,,,
Dylan Laube LV,RB,,,,,,26.4,157.9,1.1,0.1,38.8,9.1,64.9,0.1,,,,,,,,,,,
Kyle Juszczyk SF,RB,,,,,,5.6,20.2,0.1,0.0,37.0,14.2,136.7,1.1,,,,,,,,,,,
Royce Freeman DAL,RB,,,,,,56.5,169.7,1.3,0.1,35.8,5.9,40.0,0.2,,,,,,,,,,,
Jordan Mason SF,RB,,,,,,33.1,183.0,1.6,0.0,35.1,4.2,29.1,0.1,,,,,,,,,,,
Isaac Guerendo SF,RB,,,,,,29.9,167.4,1.3,0.0,34.5,5.2,43.0,0.1,,,,,,,,,,,
Cordarrelle Patterson PIT,RB,,,,,,26.8,121.0,0.9,0.1,32.7,7.9,60.1,0.2,,,,,,,,,,,
Deuce Vaughn DAL,RB,,,,,,25.0,105.2,0.9,0.4,32.3,8.4,63.0,0.4,,,,,,,,,,,
Kendall Milton PHI,RB,,,,,,34.0,145.0,2.0,0.0,31.0,2.0,25.0,0.0,,,,,,,,,,,
Jase McClellan ATL,RB,,,,,,31.2,129.2,1.0,0.0,30.9,5.4,43.7,0.4,,,,,,,,,,,
Ameer Abdullah LV,RB,,,,,,26.8,102.6,0.2,0.0,30.7,10.7,78.4,0.1,,,,,,,,,,,
Michael Carter ARI,RB,,,,,,25.9,113.9,0.8,0.1,30.4,8.3,54.2,0.1,,,,,,,,,,,
Chris Rodriguez Jr. WAS,RB,,,,,,14.4,119.7,0.9,0.1,30.4,7.1,50.5,0.2,,,,,,,,,,,
Nyheim Hines CLE,RB,,,,,,22.9,71.1,0.5,0.1,30.3,10.8,80.9,0.2,,,,,,,,,,,
Andrew Beck HOU,RB,,,,,,3.7,9.5,0.7,1.5,29.6,9.9,87.8,1.5,,,,,,,,,,,
Deneric Prince KC,RB,,,,,,16.7,136.7,1.0,0.0,29.6,5.5,40.6,0.1,,,,,,,,,,,
Rasheen Ali BAL,RB,,,,,,26.4,149.0,1.2,0.0,29.1,3.9,31.0,0.1,,,,,,,,,,,
Jawhar Jordan HOU,RB,,,,,,0.0,134.0,1.0,0.0,26.4,4.0,30.0,0.0,,,,,,,,,,,
DeWayne McBride MIN,RB,,,,,,0.0,125.0,1.0,0.0,25.5,4.0,30.0,0.0,,,,,,,,,,,
D'Ernest Johnson JAC,RB,,,,,,31.8,113.8,0.5,0.1,24.4,5.5,39.2,0.1,,,,,,,,,,,
Blake Watson DEN,RB,,,,,,0.0,108.0,1.0,0.0,23.7,4.0,29.0,0.0,,,,,,,,,,,
Ronnie Rivers LAR,RB,,,,,,27.2,109.4,0.7,0.0,23.5,4.6,33.3,0.1,,,,,,,,,,,
Jeremy McNichols WAS,RB,,,,,,14.1,56.8,0.0,0.0,23.5,8.0,65.1,0.5,,,,,,,,,,,
Isaiah Spiller LAC,RB,,,,,,30.7,99.4,0.7,0.0,22.8,4.8,30.1,0.1,,,,,,,,,,,
Craig Reynolds DET,RB,,,,,,21.6,102.3,0.8,0.1,22.7,4.1,33.4,0.1,,,,,,,,,,,
Kevin Harris NE,RB,,,,,,5.9,99.6,0.8,0.0,22.7,4.6,34.0,0.0,,,,,,,,,,,
Dare Ogunbowale HOU,RB,,,,,,16.7,60.4,0.2,0.1,22.3,8.1,59.4,0.2,,,,,,,,,,,
Hunter Luepke DAL,RB,,,,,,8.7,31.2,1.4,0.0,22.3,5.7,39.4,0.2,,,,,,,,,,,
Trayveon Williams CIN,RB,,,,,,26.2,89.2,0.6,0.1,22.1,5.5,36.1,0.2,,,,,,,,,,,
Kenny McIntosh SEA,RB,,,,,,27.6,82.4,0.4,0.1,20.3,5.1,36.4,0.2,,,,,,,,,,,
Nick Bawden HOU,RB,,,,,,5.4,17.6,2.1,0.0,19.4,2.5,21.0,0.1,,,,,,,,,,,
Pierre Strong Jr. CLE,RB,,,,,,19.2,103.1,0.7,0.0,19.2,2.7,19.9,0.0,,,,,,,,,,,
Jeff Wilson Jr. MIA,RB,,,,,,16.7,89.7,0.7,0.0,18.9,3.0,21.7,0.1,,,,,,,,,,,
Julius Chestnut TEN,RB,,,,,,14.9,62.2,0.4,0.2,18.3,5.3,37.7,0.2,,,,,,,,,,,
Emanuel Wilson GB,RB,,,,,,2.2,70.5,0.5,0.0,17.6,4.1,29.9,0.1,,,,,,,,,,,
